image_type,degradation,level,enhancement_method,degradation_params,enhancement_params,psnr,ssim,delta_e_2000,mean_brightness,rms_contrast,edge_preservation_ratio,histogram_distance
clean,clean,none,none,none,none,100.0,1.0,0.0,107.11971949085583,52.400343434391544,0.9999999999999909,0.0
degraded,low_light,light,none,"{""gamma"": 1.5}",none,19.402186734513315,0.8259347136609575,,80.32531036487926,52.61455776847953,0.9776708830407731,0.10985018772208256
enhanced,low_light,light,gamma_correction,"{""gamma"": 1.5}",quality_pipeline_defaults,44.87457828112494,0.9867835100323036,,105.89965121271305,52.59086677463794,1.0041546126834844,0.01618053922910184
enhanced,low_light,light,clahe,"{""gamma"": 1.5}",quality_pipeline_defaults,19.317626599453916,0.7962511688511044,,89.66255454811788,48.407077758429075,1.2869459984486626,0.0857446636528984
degraded,low_light,medium,none,"{""gamma"": 2.5}",none,13.113297128125106,0.4919585361198914,,52.18518046697443,47.98778774749506,0.8462961369222136,0.17950893184959926
enhanced,low_light,medium,gamma_correction,"{""gamma"": 2.5}",quality_pipeline_defaults,33.22363766557737,0.9164461885883337,,104.01799267089844,54.27824917149026,1.0399563443174258,0.08007341119259422
enhanced,low_light,medium,clahe,"{""gamma"": 2.5}",quality_pipeline_defaults,15.238004004765848,0.6088201067602751,,66.33157550514915,46.61698153897694,1.0809949919231048,0.14355259330103406
degraded,low_light,strong,none,"{""gamma"": 4.0}",none,10.433100481787699,0.283053940686173,,33.21484857421875,40.54766731556666,0.6678426552311674,0.21891572990655075
enhanced,low_light,strong,gamma_correction,"{""gamma"": 4.0}",quality_pipeline_defaults,22.60056048889769,0.7517872708656674,,96.21703398126776,60.45714976665383,1.1410742059311425,0.15794585441619186
enhanced,low_light,strong,clahe,"{""gamma"": 4.0}",quality_pipeline_defaults,11.981954958979907,0.39139364198395926,,45.39347516512784,42.11210573776193,0.839452469483588,0.19059551848846606
degraded,gaussian_noise,light,none,"{""sigma"": 10.0}",none,28.451945840621057,0.8446800257553853,,106.79789315074574,52.54967046214344,1.056825222686174,0.031241559701073243
enhanced,gaussian_noise,light,gaussian_filter,"{""sigma"": 10.0}",quality_pipeline_defaults,24.163787078424296,0.7975615549265285,,106.29806139071377,46.12554759923807,0.6564658867571936,0.052298363261575324
enhanced,gaussian_noise,light,bilateral_filter,"{""sigma"": 10.0}",quality_pipeline_defaults,30.47489833961359,0.9157206137454763,,106.2443261607777,50.648891890012436,0.834134972452234,0.03660472035697119
degraded,gaussian_noise,medium,none,"{""sigma"": 25.0}",none,20.787574705039653,0.6026587999792653,,107.2894074378551,53.67210368857359,1.231563960040794,0.061819788467387456
enhanced,gaussian_noise,medium,gaussian_filter,"{""sigma"": 25.0}",quality_pipeline_defaults,23.21157846217514,0.7198261000853076,,106.78947491832385,45.434073265414774,0.6854229221435483,0.07104592582141338
enhanced,gaussian_noise,medium,bilateral_filter,"{""sigma"": 25.0}",quality_pipeline_defaults,24.82468487438034,0.7567879680197472,,106.66857510342683,51.030028960452775,0.9527007788204306,0.05079255571421708
degraded,gaussian_noise,strong,none,"{""sigma"": 50.0}",none,15.290017578923212,0.37591537809809367,,108.63837368297229,56.81512060173608,1.5771357623962536,0.09727599802009403
enhanced,gaussian_noise,strong,gaussian_filter,"{""sigma"": 50.0}",quality_pipeline_defaults,21.06467763360089,0.5931892314456155,,108.13844612571023,43.26111189736418,0.7467304555188956,0.09101918284918327
enhanced,gaussian_noise,strong,bilateral_filter,"{""sigma"": 50.0}",quality_pipeline_defaults,16.76455458313982,0.4273601052722789,,107.95231030761718,54.29511645394223,1.3782412274779532,0.08020430999459797
degraded,salt_pepper,light,none,"{""amount"": 0.01}",none,24.78515983716524,0.8840139374245212,,107.32851382634942,53.96390093242278,1.0990586534695201,0.014530899085131138
enhanced,salt_pepper,light,median_filter,"{""amount"": 0.01}",quality_pipeline_defaults,25.547681534369417,0.8564730541954534,,106.8432968581321,49.46900135989241,0.7518112955466918,0.028685668754781988
enhanced,salt_pepper,light,gaussian_filter,"{""amount"": 0.01}",quality_pipeline_defaults,23.93630663804959,0.7913463657619958,,106.83199791060015,46.096956759089764,0.6767693198239596,0.05027609526747452
degraded,salt_pepper,medium,none,"{""amount"": 0.03}",none,19.923608952996027,0.7098296534413481,,107.73562537064984,56.87087502954957,1.2868107196789254,0.02823515451247085
enhanced,salt_pepper,medium,median_filter,"{""amount"": 0.03}",quality_pipeline_defaults,25.348780688277316,0.8528995292820339,,106.83743294300427,49.500606826766884,0.754535478245674,0.028364395213748932
enhanced,salt_pepper,medium,gaussian_filter,"{""amount"": 0.03}",quality_pipeline_defaults,23.112698228971283,0.7313882357820006,,107.23773304199217,45.56841870851696,0.7258500158798942,0.05450633661826421
degraded,salt_pepper,strong,none,"{""amount"": 0.07}",none,16.24103380776902,0.5061182437257638,,108.56538250399502,62.070727355488685,1.6259205428940786,0.04690488772676625
enhanced,salt_pepper,strong,median_filter,"{""amount"": 0.07}",quality_pipeline_defaults,24.89689531236275,0.8443570195390436,,106.85346757901277,49.59331531288488,0.7620132917885425,0.027542199053486833
enhanced,salt_pepper,strong,gaussian_filter,"{""amount"": 0.07}",quality_pipeline_defaults,21.764133471758807,0.6447411197601179,,108.06638954057173,44.58899150947892,0.8103790325623019,0.0635672212429864
degraded,gaussian_blur,light,none,"{""kernel"": 3}",none,26.153437938814015,0.8857908575304337,,106.62478629128195,47.54901866072296,0.7242567032356437,0.040659764734126386
enhanced,gaussian_blur,light,unsharp_mask,"{""kernel"": 3}",quality_pipeline_defaults,28.841452063313092,0.9452060694033693,,106.22131465243253,53.542393602605934,1.0437757538980612,0.02495832856048291
enhanced,gaussian_blur,light,sharpening,"{""kernel"": 3}",quality_pipeline_defaults,29.801256512361658,0.9499541443760121,,106.70928527787642,50.355104971564046,0.89164165399491,0.020857045551075457
degraded,gaussian_blur,medium,none,"{""kernel"": 7}",none,22.370782689536064,0.7219978438341679,,106.62347785023081,44.288598491996304,0.5335945822567181,0.06302793810997104
enhanced,gaussian_blur,medium,unsharp_mask,"{""kernel"": 7}",quality_pipeline_defaults,23.925056078179743,0.8033508040405851,,106.1504334765625,47.580922223472164,0.6802928592831615,0.039405115069847785
enhanced,gaussian_blur,medium,sharpening,"{""kernel"": 7}",quality_pipeline_defaults,23.199830876389242,0.7685570172516263,,106.6929995254794,45.482392117620925,0.5917289834641355,0.05428399268325763
degraded,gaussian_blur,strong,none,"{""kernel"": 15}",none,19.678769249744224,0.5105702698382045,,106.62185742542613,39.62842539561361,0.3502842408761756,0.0945195790114275
enhanced,gaussian_blur,strong,unsharp_mask,"{""kernel"": 15}",quality_pipeline_defaults,20.155684112264453,0.5508710993524569,,106.12883038574219,41.01376782359861,0.38975694833848246,0.08432693748147893
